"ENERGY STAR Unique ID","ENERGY STAR Partner","Brand Name","Model Name","Model Number","Additional Model Information","UPC","Type","Integrated Desktop Category","Product Marketed as a Workstation","Installed NPU","Motherboard Form Factor","Product DIMM Count","Operating System Name","Processor Brand","Processor Name","Physical CPU Cores (count)","CPU Packages (count)","CPU Base Clock Speed (GHz) ","CPU Maximum Clock Speed (GHz) ","System Memory (GB)","Multi-Channel Memory Support","Capable of Switchable Graphics","Switchable Graphics Enabled by Default in AC Mode ","Discrete Graphics Frame Buffer Bandwidth (GB/s) ","Discrete Graphics Frame Buffer Data Width (bits) ","Fast Ethernet Ports (count)","Gigabit Ethernet Ports (count) ","10 Gigabit Ethernet Ports (count)","Energy Efficient Ethernet (EEE) ","Number of Installed Storage Drives ","Number of Integrated Displays (count) ","Integrated Display Resolution (megapixels) ","Integrated Display Viewable Screen Area (sq in) ","Enhanced Performance Display Present ","Integrated Display Diagonal Screen Size (in)","Internal Power Supply Efficiency at 10% Load","Internal Power Supply Efficiency at 20% Load","Internal Power Supply Efficiency at 50% Load","Internal Power Supply Efficiency at 100% Load","Category I1/1 Internal Power Supply Efficiency at 50% Load","Category I1/1 Internal Power Supply Efficiency at 100% Load","External Power Supply Rated Power (W)","Internal Power Supply Rated Power (W)","MUX Device","Storage Technology","Total Battery Capacity (watt-hours)","Default Low-power Mode","Long Idle Power Used for Sleep Mode","Off Mode (watts)","Sleep Mode (watts)","Long Idle (watts)","Short Idle (watts)","Additional Measured Power in Short Idle at 115V (W) ","Base TEC Allowance (kWh)","Functional Adder Allowances (kWh)","TEC of Model (kWh)","Maximum TEC Requirements (Etec max) (kWh) ","Ethernet Capability","Touch Screen","Sleep Mode Default Time Upon Shipment (min.)","Display Sleep Mode Default Time Upon Shipment (min.)","WOL (Wake on LAN) From Sleep","Will the Speed of Any Active 1 GB/s or Higher Ethernet Network Links be Reduced to Less Than 1 GB/s When Transitioning to Sleep or Off Mode?","Date Available On Market","Date Certified","Markets","CB Model Identifier"
"4478546","Micro-Star International Co., Ltd.","MSI","MS-13SK","Modern A13 AI F2HMG","MS-13SK,Modern A13 AI+ F3HMG",,"Notebook",,"No","Yes",,,"Windows 11 Pro","AMD","AMD Ryzen"" 7 250 w/ Radeon 780M Graphics","8","1","3.3","3.3","64",,,"No",,,,,,"Yes","1",,,,,,,,,,,,,,"No","SSD","55","ALPM",,"0.3","1.4","1.4","5.5",,"8","13.6","18.6","21.4","No","Yes",,,,,"05/29/2025","07/16/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_1047644_Modern A13 AI F2HMG_07142025081487_3686382"
"4478545","ASUSTeK Computer Inc.","ASUS","TP3607S","TP3607S","TP3607S,J3607S; TP3607S,R3607S","197105765498;197105796027;197105798663;197105814431;197105815841;197105815858;197105815865;197105822641;197105822658;197105828629;197105828636;197105842496;197105842502;197105842700;197105842717;197105842724;197105842731;197105842748;197105842755;197105842762;197105842809;197105842816;197105842823;197105842830;197105842847;197105842878;197105842885;197105842892;197105842908;197105842915;197105842922;197105842939;197105843387;197105843394;197105844070;197105844247;197105844520;197105844537;197105844544;197105844551;197105844681;197105844919;197105844933;197105844940;197105844957;197105844971;197105846883;197105846890;197105847194;197105849655;197105853676;197105857117;197105861701;197105863392;197105863859;197105873506;197105874909;197105875593;197105876002;197105877450;197105879195;197105886391;197105887732;197105892972;197105894884;197105899018;197105902695;197105906914;197105912182;197105936461;197105937369;197105956391;197105956933;197105959019;197105973596;199291015791;199291068643;199291080911;199291080928;199291120631;199291120648;199291137165","Notebook",,"No","No",,,"Windows 11 Pro","Intel","Core Ultra 9","8","1","3.3","5.1","32",,,,,,,"0",,"No","1","1","5.18","114.94","No","16",,,,,,,"65",,"No","SSD","75","Modern Standby","Yes","0.3","1.3","1.3","5.7","6.8","8","14.6","18","22.4","No","Yes","5","5",,,"12/01/2024","07/16/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_41973_TP3607S_071520250613152_4922743"
"4478536","Intel Corporation","Intel","NUC12WSH","NUC12WSH","NUC12WSK,NUC12WSK","197105504905","Desktop",,,"Yes","Mini-ATX","2","Windows 11, Windows 10, Ubuntu","Intel","Core i7","12","1","2.5","4.8","16","No","No",,,,"2",,,"Yes","1",,,,,,,,,,,,"120",,"No","SSD",,"Modern Starndby","Yes","1.1","2.6","2.6","5.2",,"41","6.4","27.6","46.9","Yes","No","10","10",,,"03/08/2022","07/16/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_41973_NUC12WSH_050820250141588_3781409"
"4478535","ASUSTeK Computer Inc.","ASUS","E1600WK","E1600WK",,"195553855693","Integrated Desktop","Category 1",,"No",,"2","Windows 11 Pro","Intel","Pentium","4","1","1.1","3.3","8","No",,,,,,"1",,"Yes","2","1","2.07","103.27","No","15.6",,,,,,,"65",,"No","2.5 inch HDD,SSD",,"Sleep Mode","No","0.2","0.6","5.5","8.6",,"9","29.3","29.9","37.8","Yes","Yes","30","10",,,"03/23/2022","07/16/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_41973_E1600WK_071420250638499_3181867"
"4478524","ASUSTeK Computer Inc.","ASUS","PM700SK","PM700SKC",,,"Desktop",,,"No",,"2","Windows 11 Pro","AMD","Ryzen AI 7","8","1","2","5","64","No","No",,"96","64",,"1",,"Yes","1",,,,,,"0.91","0.92",,,"0.93","0.9",,"330","No","SSD",,"Modern standby","Yes","0.1","2","2","10.5",,"41","40.1","37.2","80.6","Yes","No","5","5",,,"08/25/2025","07/15/2025","United States, Canada","ES_41973_PM700SKC_071120250231995_8791060"
"4478523","ASUSTeK Computer Inc.","ASUS","E1504F","E1504F","E1504F,L1504F","197105107588;197105107595;197105121362;197105170896;197105457355;197105915626;197105937772;197105937789;197105937796","Notebook",,"No","No",,,"Windows 11 Pro","AMD","Athlon","2","1","2.4","3.7","4",,,,,,,"0",,"No","1","1","2.07","103.27","No","15.6",,,,,,,"45",,"No","SSD","50","Modern Standby","Yes","0.2","0.3","0.3","4.7","5.9","8","6.8","10.3","14.6","No","No","10","10",,,"01/13/2023","07/15/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_41973_E1504F_071120250526618_6508110"
"4478522","ASUSTeK Computer Inc.","ASUS","E1404G","E1404G","E1404G,L1404G","197105017399;197105017405;197105046696;197105058507;197105065802;197105082427;197105082786;197105094475;197105115408;197105124141;197105124158;197105124486;197105126909;197105126916;197105128835;197105128842;197105128859;197105133495;197105133501;197105133518;197105133525;197105133532;197105133549;197105133556;197105133563;197105133617;197105133624;197105139442;197105139459;197105149939;197105149960;197105149977;197105149984;197105149991;197105150003;197105150096;197105152342;197105153455;197105154681;197105154698;197105154704;197105154711;197105154728;197105154735;197105160187;197105160200;197105165045;197105176577;197105199057;197105199873;197105199880;197105200951;197105204140;197105212763;197105221451;197105229228;197105243880;197105247253;197105249530;197105251892;197105251908;197105257870;197105268043;197105271043;197105271401;197105271418;197105274693;197105277762;197105289017;197105293762;197105295667;197105314337;197105314603;197105322615;197105330788;197105332690;197105353398;197105353831;197105356924;197105357587;197105358706;197105361607;197105362963;197105362970;197105364202;197105366299;197105369559;197105372368;197105372863;197105372870;197105375680;197105376694;197105387393;197105397729;197105397866;197105401365;197105401624;197105404755;197105415331;197105415348;197105415355;197105430754;197105430945;197105444560;197105454217;197105467538;197105481664;197105482845;197105483392;197105485181;197105485686;197105489547;197105489554;197105489578;197105498914;197105499010;197105499133;197105508965;197105508972;197105509924;197105509931;197105509948;197105510739;197105511132;197105511729;197105520875;197105520882;197105520899;197105520905;197105520912;197105520929;197105547834;197105554481;197105560987;197105580480;197105580497;197105584242;197105584266;197105586352;197105587120;197105599918;197105606319;197105608016;197105619111;197105635753;197105644502;197105655799;197105655843;197105660267;197105660724;197105660731;197105666375;197105667518;197105668256;197105677029;197105677050;197105690714;197105707313;197105708532;197105708556;197105708570;197105708587;197105714830;197105718227;197105718234;197105718241;197105723894;197105723900;197105723917;197105730007;197105730014;197105730021;197105744486;197105773646;197105800953;197105803787;197105806269;197105817739;197105825253;197105831742;197105841178;197105841185;197105847286;197105877207;197105910669;197105910683;197105932098;197105937819;197105940383;197105940390;197105940406;197105952805;197105956490;197105984172;199291002616;199291013551;199291015760;199291017313;199291017320;199291017337;199291026155;199291030602;199291031715;199291039957;199291046948;199291049857;199291050938;199291061293;199291061309;199291062375;199291063167;199291063174;199291063310;199291069893;199291070394;199291070417;199291079243;199291085428;199291093508;199291107748;199291113428;199291113435;199291113442;199291128095;199291128101;199291128118;199291128125;199291128132;199291128149;199291128156;199291128163;199291128170;199291128187;199291128194;199291128200;199291128217;199291128224;199291128231;199291138346;199291144774;199291152793;199291178168","Notebook",,"No","No",,,"Windows 11 Pro","Intel","Core i3","8","1","1.8","3.8","8",,,,,,,"0",,"No","1","1","2.07","83.42","No","14",,,,,,,"65",,"No","SSD","50","Modern Standby","Yes","0.5","0.6","0.6","4.3","5.2","8","6.4","11.2","14.2","No","No","5","5",,,"03/14/2023","07/15/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_41973_E1404G_070920250223396_6483862"
"4478521","ASUSTeK Computer Inc.","ASUS","CX1505CTA","CX1505CTA","CX1505CTA,CB1505CTA","199291102538;199291105850;199291137578","Notebook",,"No","No",,,"Chrome OS","Intel","Core 3","8","1","1.9","3.9","16",,,,,,,"0",,"No","1","1","2.07","103.27","No","15.6",,,,,,,"45",,"No","eMMC","63","Sleep Mode","No","0.2","1.1","1.1","3.9","4.5","8","9.3","13.9","17.1","No","Yes","9","8",,,"03/03/2025","07/15/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_41973_CX1505CTA_071420250306524_5309740"
"4478520","ASUSTeK Computer Inc.","ASUS","P5405CSA","P5405CSA","P5405CSA,V5405CSA","197105761438","Notebook",,"No","Yes",,,"Windows 11 Pro","Intel","Core Ultra 9","8","1","3.3","5.1","32",,,,,,,"0",,"No","1","1","4.1","88.12","No","14",,,,,,,"65",,"No","SSD","63","Modern Standby","Yes","0.4","1.5","1.5","3.7","4.5","8","11","16","18.8","No","No","5","5",,,"09/03/2024","07/15/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_41973_P5405CSA_071120250151307_7259106"
"4478519","ASUSTeK Computer Inc.","ASUS","M5406K","M5406K","M5406K,D5406K; M5406K,Y5406CK","197105868175;197105905818","Notebook",,"No","Yes",,,"Windows 11 Pro","AMD","AI R7","8","1","2","5","32",,,,,,,"0",,"No","1","1","5.18","88.25","No","14",,,,,,,"65",,"No","SSD","75","Modern Standby","Yes","0.4","0.8","0.8","7.5","8.6","8","11.8","18.1","19.6","No","No","5","5",,,"12/23/2024","07/15/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_41973_M5406K_071520250645913_4444230"
"4478518","ASUSTeK Computer Inc.","ASUS","H7606W","H7606W","H7606W,J7606W","197105586666;197105613928;197105613935;197105672666;197105673663;197105693845;197105717152;197105717169;197105775275","Notebook",,"No","Yes",,,"Windows 11 Pro","AMD","Ryzen AI 9","12","1","2","5.1","64",,"Yes","Yes","256","128",,"0",,"No","2","1","9.22","114.94","No","16",,,,,,,"200",,"No","SSD","90","Modern Standby","Yes","0.3","0.9","0.9","11.4","12.4","8","22.4","25.9","30.2","No","Yes","5","5",,,"06/18/2024","07/15/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_41973_H7606W_071120250740375_9105442"
"4478491","HP Inc.","HP","HP ProBook 440 14 inch G9 Notebook PC ENERGY STAR","HSN-Q32C-4","HP ProBook 440 14 inch G10 Notebook PC ENERGY STAR; HP ProBook 440 G9 ENERGY STAR; HP Pro mt440 G3 ENERGY STAR; HP Pro mt440 G3 Mobile Thin Client ENERGY STAR; HP ZHAN 66 Pro 14 G5 ENERGY STAR; HP ZHAN 66 Pro 14 inch G5 Notebook PC ENERGY STAR","196786946363;196786946394;196786946400;196786946417;196786946462;196786946486;196786946516;196786946523;196786946578;196786946592;196786946615;196786946646;196786946660;196786946684;196786946721;196786946738;196786946752;196786946790;196786946806;196786946820","Notebook",,"No","No",,,"Windows 11","Intel","Core i7","10","1","2.6","4.7","64",,"Yes","Yes",,,"0","1","0","Yes","2","1","2.07","83.75","No","14",,,,,,,"65",,"No","SDD","51.3","Connected Sleep","No","0.3","0.9","0.9","4.2","4.5","8","13.5","13.3","21.3","Yes","No","10","10",,"Yes","03/24/2022","07/10/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_1024439_HSN-Q32C-4_07142025093725_9464382"
"4478490","ASUSTeK Computer Inc.","ASUS","PB62","PB62","PB62,CIARA","195553150460;195553163897;195553185752;195553185769;195553185783;195553185790;195553185806;195553204170;195553204187;195553204194;195553204200;195553204217;195553204224;195553224604;195553236881;195553244831;195553254038;195553254045;195553260862;195553260879;195553279154;195553289184;195553317542;195553317559;195553326544;195553364164;195553364171;195553367905;195553383806;195553383813;195553384827;195553396585;195553397049;195553401128;195553404211;195553405317;195553405324;195553412353;195553412360;195553412377;195553413930;195553415200;195553415217;195553415842;195553415873;195553415880;195553416191;195553416382;195553423441;195553443135;195553481267;195553494168;195553512183;195553512190;195553514330;195553519687;195553519892;195553519908;195553519915;195553525381;195553530439;195553530798;195553530897;195553534994;195553535007;195553535014;195553549455;195553552165;195553554671;195553560597;195553561792;195553561815;195553569286;195553569309;195553569385;195553573559;195553573566;195553592086;195553592093;195553593304;195553597982;195553600545;195553600958;195553600965;195553605380;195553605397;195553605557;195553605571;195553605946;195553605953;195553607445;195553607537;195553619691;195553619707;195553623643;195553623650;195553623681;195553623698;195553634380;195553671095;195553671118;195553675246;195553675253;195553692540;195553698368;195553698375;195553698382;195553707817;195553707824;195553707831;195553707848;195553707855;195553707862;195553708654;195553709279;195553711104;195553715850;195553730082;195553736053;195553741828;195553744027;195553744072;195553745567;195553748896;195553751407;195553751612;195553756488;195553758109;195553759083;195553759106;195553760362;195553762045;195553768887;195553772242;195553778930;195553789660;195553795807;195553799959;195553831284;195553833639;195553834346;195553842518;195553842525;195553846844;195553846851;195553847520;195553856072;195553860512;195553869386;195553870078;195553870825;195553874595;195553878500;195553879026;195553881616;195553881623;195553893107;195553898843;195553912143;195553915304;195553918275;195553919210;195553919227;195553929967;195553933049;195553936231;195553937818;195553937863;195553937870;195553938068;195553940863;195553942140;195553957045;195553963053;197105000391;197105007499;197105015401;197105022720;197105028142;197105031531;197105032040;197105042544;197105048522;197105052871;197105055582;197105079502;197105086197;197105091153;197105102286;197105102958;197105103405;197105138674;197105184077;197105189089;197105294820;197105307421;197105327290;197105398726;197105400788;197105400795;197105416802;197105546134;197105769588;197105837058;197105853188;197105905122","Desktop",,,"No",,"2","Windows 10 Pro","Intel","Core i7","8","1","2.5","4.9","32","No",,,,,,"1",,"Yes","1",,,,,,,,,,,,"150",,"No","SSD",,"Sleep Mode","No","0.4","1.8","4.4","6.7",,"41","4.8","29.1","45.3","Yes","No","30","10","Shipped Enabled Under All Conditions","Yes","04/05/2021","07/14/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_41973_PB62_071020250331786_5022940"
"4478485","ASUSTeK Computer Inc.","ASUS","E1504G","E1504G","E1504G,L1504G","197105285002;197105401747;197105547995;197105557024;197105557048;197105766563;197105876118;197105937802;199291117211","Notebook",,"No","No",,,"Windows 11 Pro","Intel","Core i3","8","1","1.8","3.8","8",,,,,,,"0",,"No","1","1","2.07","103.27","No","15.6",,,,,,,"65",,"No","SSD","50","Modern Standby","Yes","0.4","0.6","0.6","4.3","5.4","8","7.3","11.4","15.1","No","No","5","5",,,"03/14/2023","07/14/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_41973_E1504G_070920250406949_4050069"
"4478484","ASUSTeK Computer Inc.","ASUS","BR1204FG","BR1204FG","BR1204FG,BR1204CG; BR1204FG,BR1204CTA; BR1204FG,BR1204FTA","197105394452;197105394513;197105418073;197105418080;197105418097;197105418196;197105418202;197105419124;197105463486;197105463493;197105480889;197105480896;197105480902;197105524651;197105797093;197105797109;197105904149;197105904156;197105958623;197105958630;199291047389;199291133617;199291176591;199291176621","Notebook",,"No","No",,,"Windows 11 Pro","Intel","N200","4","1","1","3.7","16",,,,,,,"1",,"Yes","2","1","2.3","66.89","No","12.2",,,,,,,"45",,"No","SSD","50","Modern Standby","Yes","0.1","0.8","0.8","3.3","3.7","8","7.1","10.8","14.9","Yes","No","5","5",,,"01/05/2024","07/14/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_41973_BR1204FG_071020250547345_3491225"
"4478481","Super Micro Computer, Inc.","Supermicro","SYS-531A-I","SYS-531A-I","735D4-S12X13","672042885572","Workstation",,"Yes",,,,"Windows 11 Pro","Intel","Intel(R) Xeon(R) w5-2455x","12","1","4.6","4.6","64",,,,,,,"2",,"Yes",,,,,,,,"0.9","0.92","0.9",,,,,,"Hard Disk Drive",,,,"4.5","81.3","82.3","96.8",,,,"79.3",,"Yes",,,"10","Shipped Disabled","No","07/14/2023","07/10/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_1068594_SYS-531A-I_070320251440827_5722410"
"4471357","Dell Inc.","DELL","P131F","DC16256","DC16255",,"Notebook",,"No","Yes",,,"Windows 11","AMD","Ryzen 7","8","1","3.3","5.1","32",,,,,,"0","0","0","No","1","1","4.1","115.06","No","16",,,,,,,"65",,"No","SDD","64","Connected Sleep","No","0.2","0.5","0.5","5.6","5.4","8","12.2","13.4","20","No","No","10","10",,,"08/29/2025","07/11/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_29573_DC16256_07112025124908_3702603"
"4471356","HP Inc.","HP","HP ProDesk 2 SFF G1i Desktop PC ENERGY STAR","TPC-P073-SF","HP ProDesk 2 SFF G1i; HP ProDesk 2 SFF G1i E; HP ProDesk 2 SFF G1i E Desktop PC ENERGY STAR","198415981684;198415981714;198415981738;198701601265","Desktop",,,"No",,"2","Windows 11","Intel","Core i7","20","1","2.1","5.4","64","No","No",,"64","32","0","1","0","Yes","2",,,,,,"0.9","0.92",,,"0.93","0.9",,"280","No","3.5 inch HDD,SSD",,"Connected Sleep","No","0.5","3","3","14.7",,"41","46.5","53.3","87","Yes","No","5","5","Shipped Enabled Under All Conditions","Yes","01/10/2025","07/11/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_1024439_TPC-P073-SF_07112025132154_2229964"
"4471355","HP Inc.","HP","HP OmniDesk Slim Desktop PC S03 ENERGY STAR","TPC-P073-SF","S03","198701025870;198701025887;198990775333","Desktop",,,"No",,"2","Windows 11","Intel","Core i7","20","1","2.1","5.4","32","No",,,,,"0","1","0","Yes","1",,,,,,"0.86","0.89",,,"0.92","0.89",,"180","No","SSD",,"Connected Sleep","No","0.5","3","3","6.8",,"41","4.8","32.7","45.3","Yes","No","5","5","Shipped Enabled Under All Conditions","Yes","01/10/2025","07/11/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_1024439_TPC-P073-SF_07112025131843_7714398"
"4471347","HP Inc.","HP","HP EliteBook 630 G9 ENERGY STAR","HSN-Q33C","HP EliteBook 630 13.3 inch G10 Notebook PC ENERGY STAR; HP EliteBook 630 13 inch G9 Notebook PC ENERGY STAR","197029095923;197029095930;197029095947;197029095954;197029095961;197029758774;197029758781;197029758798;197029758804","Notebook",,"No","No",,,"Windows 11","Intel","Core i7","10","1","1.7","4.7","64",,"No","No",,,"0","1","0","Yes","1","1","2.07","75.59","No","13.3",,,,,,,"65",,"No","SDD","42.8","Connected Sleep","No","0.3","0.9","0.9","5.3","6.7","8","12.7","15.4","20.5","Yes","No","10","10","Shipped Enabled Under All Conditions","Yes","03/24/2022","07/11/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_1024439_HSN-Q33C_07112025124927_8603407"
"4471340","Lenovo Group Limited","Lenovo","ThinkStation PX","30EU","ThinkStation PX,30EV; ThinkStation PX,30EW; ThinkStationPX,30EY; ThinkStation PX,30F0; ThinkStation PX,30F1",,"Workstation",,"Yes",,,,"Windows 11","Intel","Xeon Platinum
 8490H","60","2","1.9","3.5","2,048",,,"No","768","384",,"2",,"Yes",,,,,,,,"0.92","0.94","0.93",,,,,,"Hard Disk Drive",,,,"11.8","37.9","279.6","297",,,,"174.3",,"Yes",,"30","10","Shipped Disabled","Yes","05/26/2023","07/11/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_1037540_30EU_07022025060315_3429681"
"4471339","Lenovo Group Limited","Lenovo","ThinkCentre neo Ultra Gen 2","13BG","ThinkCentre neo Ultra Gen 2,13BH; ThinkCentre neo Ultra Gen 2,13EA; ThinkCentre neo Ultra Gen 2,13EB",,"Desktop",,,"Yes",,"2","Ubuntu,Windows 11","Intel","Core Ultra 9 285","24","1","2.5","5.6","64","No","No",,"448","128","0","1","0","Yes","3",,,,,,"0.88","0.92",,,"0.93","0.91",,"350","No","SSD",,"Sleep Mode","No","0.6","1.1","17.9","20.6",,"41","54.8","74.9","95.8","Yes","No","10","10","Shipped Enabled Under All Conditions","Yes","06/01/2025","07/11/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_1037540_13BG_07022025082038_5635644"
"4471331","ASUSTeK Computer Inc.","ASUS","X1607Q","X1607Q","X1607Q,A1607Q; X1607Q,F1607Q; X1607Q,R1607Q","197105847491;197105859067;197105872875;197105929395;199291083370","Notebook",,"No","Yes",,,"Windows 11 Pro","Other","Snapdragon X Plus","8","1","3","3.4","16",,,,,,,"0",,"No","1","1","2.3","114.97","No","16",,,,,,,"65",,"No","SSD","75","Modern Standby","Yes","0.3","0.5","0.5","3.7","4.1","8","9","10","16.8","No","No","5","5",,,"01/06/2025","07/11/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_41973_X1607Q_070720250559293_5613356"
"4471330","Elo Touch Solutions, Inc.","ELO","ESY10I1E","ESY10I1-2UWE-0-4G-6E-A14-AOSP-BK-NS","ESY10I1-2UWE-0-4G-6E-A14-AOSP-WH-NS, ESY10I1-2UWE-0-4G-6E-A14-GMS-BK-NS, ESY10I1-2UWE-0-4G-6E-A14-GMS-WH-NS","843173152288;843173152295;843173152318;843173152325","Integrated Desktop","Category 1",,"No",,"0","Android OS","Qualcomm","QCS6490","8","1","2.7","0","4","No",,,,"0","0","1","0","Yes","1","1","2.3","45.44","No","10.1","0","0",,,"0","0","65","0","No","UFS",,"Off","Yes","0.1","2.4","2.4","3.8",,"9","19.2","21.6","27.7","Yes","Yes","1","1","Shipped Disabled","Yes","06/01/2025","06/30/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_1123976_ESY10I1-2UWE-0-4G-6E-A14-AOSP-BK-NS_06202025100303_8062605"
"4471329","Elo Touch Solutions, Inc.","ELO","ESY22I1E","ESY22I1-2UWE-0-4G-6E-A14-AOSP-BK-NS","ESY22I1-2UWE-0-4G-6E-A14-AOSP-WH-NS, ESY22I1-2UWE-0-4G-6E-A14-GMS-BK-NS, ESY22I1-2UWE-0-4G-6E-A14-GMS-WH-NS","843173152400;843173152417;843173152431;843173152448","Integrated Desktop","Category 1",,"No",,"0","Android OS","Qualcomm","QCS6490","8","1","2.7","0","4","No",,,,"0","0","1","0","Yes","1","1","2.07","198.76","No","21.56","0","0",,,"0","0","65","0","No","UFS",,"Off","Yes","0.1","2.4","2.4","12.3",,"9","43.6","44.1","52.1","Yes","Yes","1","1","Shipped Disabled","Yes","03/01/2025","06/25/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_1123976_ESY22I1-2UWE-0-4G-6E-A14-GMS-WH-NS_06202025085424_8544345"
"4471328","Elo Touch Solutions, Inc.","ELO","ESY15I1E","ESY15I1-2UWE-0-4G-6E-A14-AOSP-BK-NS","ESY15I1-2UWE-0-4G-6E-A14-AOSP-WH-NS, ESY15I1-2UWE-0-4G-6E-A14-GMS-BK-NS, ESY15I1-2UWE-0-4G-6E-A14-GMS-WH-NS","843173152349;843173152356;843173152370;843173152387","Integrated Desktop","Category 1",,"No",,"0","Android OS","Qualcomm","QCS6490","8","1","2.7","0","4","No",,,,"0","0","1","0","Yes","1","1","2.07","104.62","No","15.63","0","0",,,"0","0","65","0","No","UFS",,"Off","Yes","0.1","2.4","2.4","6.3",,"9","28.6","28.3","37.1","Yes","Yes","1","1","Shipped Disabled","Yes","03/01/2025","06/24/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_1123976_ESY15I1-2UWE-0-4G-6E-A14-AOSP-BK-NS_06192025155259_7766873"
"4471327","ASUSTeK Computer Inc.","ASUS","CR1204CG","CR1204CG","CR1204CG,CR1204FG; CR1204CTA,CR1204CTA; CR1204CTA,CR1204FTA","197105633056;197105633063;197105633070;197105633087;197105633094;197105633100;197105760400;197105770676;197105800175;197105800366;197105835269;197105886056;197105886063","Notebook",,"No","No",,,"Chrome OS","Intel","N200","4","1","1","3.7","16",,,,,,,"0",,"No","1","1","2.3","66.89","No","12.2",,,,,,,"45",,"No","eMMc","50","Connected Sleep","No","0.2","0.3","1.8","3.4","3.9","8","7.6","9.4","15.4","No","Yes","9","8",,,"05/23/2024","07/11/2025","United States, Japan, Canada, Taiwan, Switzerland","ES_41973_CR1204CG_071120250748341_3876743"
"4471326","ASUSTeK Computer Inc.","ASUS","S5406S","S5406S","S5406S,K5406S; S5406S,P5406CS; S5406S,Q423S; S5406S,V5406S","197105712492;197105714885;197105715783;197105728660;197105778948;197105834859;197105855793;197105917903","Notebook",,"No","Yes",,,"Windows 11 Pro","Intel","Core Ultra 7","8","1","2.2","3.3","32",,,,,,,"0",,"No","1","1","5.18","88.26","No","14",,,,,,,"65",,"No","SSD","75","Modern Standby","Yes","0.3","0.6","0.6","4.7","5.1","8","11.8","11.8","19.6","No","No","5","5",,,"09/23/2024","07/11/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_41973_S5406S_070920250643192_7539805"
"4471325","ASUSTeK Computer Inc.","ASUS","BM1503CDA","BM1503CDA","BM1503CDA,PM1503CDA","197105768802;197105768840;199291015364;199291049628;199291119765;199291159433","Notebook",,"No","No",,,"Windows 11 Pro","AMD","Ryzen 7","8","1","2.7","4.8","32",,,,,,,"1",,"Yes","1","1","2.07","103.23","No","15.6",,,,,,,"65",,"No","SSD","50","Modern Standby","Yes","0.4","0.7","0.7","5.6","6.4","8","10.2","14.3","18","Yes","No","5","5",,,"10/28/2024","07/11/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_41973_BM1503CDA_070820250959383_5493337"
"4471324","ASUSTeK Computer Inc.","ASUS","CX5403CM","CX5403CM",,"197105546288;197105562264;197105615540;197105615557;197105618237;197105674820;197105674837;197105727731;197105727748;197105727755;197105727762;197105732421;197105738218;197105799394;197105849143;197105852679;197105852686;197105858626;199291016729;199291111905;199291111912;199291142886;199291142909;199291168503;199291179837","Notebook",,"No","Yes",,,"Chrome OS","Intel","Core Ultra 7","12","1","1.7","4.8","8",,,,,,,"0",,"No","1","1","4.1","88.12","No","14",,,,,,,"65",,"No","SSD","63","S0ix","No","0.2","0.4","1","3.2","3.8","8","8.1","8.7","15.9","No","No","9","8",,,"04/18/2024","07/11/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_41973_CX5403CM_07092025055691_2978020"
"4471323","ASUSTeK Computer Inc.","ASUS","TP3604V","TP3604V","TP3604V,J3604V; TP3604V,R3604V","197105109032;197105119260;197105388611;197105474833;197105887985;197105888784;197105905894;197105924079;197105973589","Notebook",,"No","Yes",,,"Windows 11 Pro","Intel","CoreT i7","14","1","2.4","5","16",,,,,,,"0",,"No","1","1","6.4","114.94","No","16",,,,,,,"90",,"No","SSD","70","Modern Standby","Yes","0.3","0.8","0.8","8","9","8","13.8","19.1","21.6","No","Yes","5","5",,,"04/05/2023","07/11/2025","United States, Switzerland, Taiwan, Japan, Canada","ES_41973_TP3604V_070920250813548_3763184"
